"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1669142",-0.586328766529414,6.67081703814706,-4.07711800340222,0.000248793097312308,0.0151538307131545,0.44227823768248,"NAA15","N-alpha-acetyltransferase 15, NatA auxiliary subunit"
"ILMN_1669208",-0.993827656176475,6.95885102685294,-4.79090507135401,2.99647756658034e-05,0.00350129155267362,2.40691344584491,"TSPO2","translocator protein 2"
"ILMN_1669323",-0.770963367529417,6.81685804723529,-5.51541571403071,3.33735578853148e-06,0.000980954583730901,4.45124528850125,"BACE2","beta-secretase 2"
"ILMN_1669592",-0.907231512588242,8.55809360611764,-5.13473562034524,1.06063719749455e-05,0.00181345622872024,3.37400767235749,"MARCHF2","membrane associated ring-CH-type finger 2"
"ILMN_1669633",-1.19813683911765,7.70593257361765,-5.27477770856172,6.93501939594683e-06,0.00140084002866553,3.76983390810703,"ACP1","acid phosphatase 1"
"ILMN_1669657",0.725048070705878,9.19540595341177,3.92965520876357,0.000381330412484409,0.0208379897344107,0.0477990862664956,NA,NA
"ILMN_1669831",-1.08559693211765,7.41360906676471,-5.02139596616778,1.49490641715515e-05,0.00217741223001205,3.05433023945512,"SLC18B1","solute carrier family 18 member B1"
"ILMN_1670000",-1.3985437102353,9.33406516252941,-5.89320165816285,1.05790564364898e-06,0.000568900781527283,5.52102301725714,"DCAF6","DDB1 and CUL4 associated factor 6"
"ILMN_1670028",-1.46706859741177,8.70172818135294,-4.26489566932404,0.000143584091728551,0.0102177894328876,0.95122667056582,"LPIN2","lipin 2"
"ILMN_1670158",-1.78857886517647,7.50610309035294,-5.84167989385108,1.23723881688168e-06,0.000586258373219847,5.37528568365701,"SACK1A","scaffolding CK1 anchoring protein A"
"ILMN_1670272",-0.803879901411774,10.7351195622353,-5.19236415912768,8.90588454179116e-06,0.00163989561934312,3.53679874205602,"LRP10","LDL receptor related protein 10"
"ILMN_1670302",0.906889785764701,9.37595070011765,3.88698623253805,0.000431121133008605,0.0229493198845514,-0.0653945663680879,"HK3","hexokinase 3"
"ILMN_1670570",-0.82743852864706,7.55403742067647,-4.11609925220606,0.000222076789302964,0.013975186037479,0.547355560882496,"MXI1","MAX interactor 1, dimerization protein"
"ILMN_1671005",-0.877207953235302,6.97360262673529,-3.63970486005232,0.000870668386015542,0.0387607149872187,-0.711948401316428,"IRF2BP2","interferon regulatory factor 2 binding protein 2"
"ILMN_1671221",-1.11996906535294,8.3880218347353,-5.30671832628828,6.29389636935947e-06,0.00132376025727644,3.86021063208116,"GAPVD1","GTPase activating protein and VPS9 domains 1"
"ILMN_1671583",-1.08417527000001,12.6258109679412,-4.62526607112973,4.92523333593474e-05,0.00479581928305432,1.94465470173106,"MKRN1","makorin ring finger protein 1"
"ILMN_1671686",-1.6890716492353,9.55911983638235,-5.11694162360301,1.11940190175744e-05,0.00187028516214944,3.32377371062114,"DMTN","dematin actin binding protein"
"ILMN_1671693",-1.37263188576471,8.1907081527647,-5.60631235714679,2.531201980513e-06,0.000860694367654971,4.7087838904581,"TPGS2","tubulin polyglutamylase complex subunit 2"
"ILMN_1671791",-0.605866134941182,7.67939182894118,-5.29759743273477,6.47069572313259e-06,0.00132697056220553,3.83439983704823,"PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial"
"ILMN_1671837",-0.977481035294119,8.35630624647059,-5.9305590634803,9.4439260255017e-07,0.000545018184518069,5.6266422534299,"WASF2","WASP family member 2"
